SPOTUK1L	SPOTFR1L	SPOTYEN1L	SPOTUK3L	SPOTFR3L	SPOTYEN3L	FOR1UKL	FOR1FRL	FOR1YENL	FOR3UKL	FOR3FRL	FOR3YENL
0.35557	-2.13299	-5.45077	0.36485	-2.07694	-5.41306	0.3726	-2.12255	-5.44126	0.37391	-2.12863	-5.43551
0.3944	-2.07443	-5.45054	0.33897	-2.11354	-5.42071	0.35607	-2.13646	-5.44798	0.35682	-2.14566	-5.44242
0.36485	-2.07694	-5.41306	0.33254	-2.11716	-5.44057	0.39521	-2.07892	-5.44775	0.39742	-2.08947	-5.44103
0.33897	-2.11354	-5.42071	0.30195	-2.14476	-5.46816	0.36644	-2.07882	-5.40925	0.36954	-2.0856	-5.4019
0.33254	-2.11716	-5.44057	0.2799	-2.18042	-5.49263	0.34088	-2.11451	-5.41665	0.34463	-2.11684	-5.40858
0.30195	-2.14476	-5.46816	0.27056	-2.18155	-5.48682	0.33403	-2.11724	-5.43666	0.33695	-2.11751	-5.42683
0.2799	-2.18042	-5.49263	0.21592	-2.23644	-5.50411	0.3046	-2.1447	-5.46319	0.30898	-2.14506	-5.45287
0.27056	-2.18155	-5.48682	0.22634	-2.20138	-5.48754	0.2796	-2.18064	-5.48803	0.27968	-2.18082	-5.47888
0.21592	-2.23644	-5.50411	0.18357	-2.2476	-5.50904	0.27155	-2.18076	-5.48224	0.27428	-2.17997	-5.47267
0.22634	-2.20138	-5.48754	0.15186	-2.26281	-5.52196	0.21648	-2.23649	-5.49994	0.21809	-2.23682	-5.49117
0.18357	-2.2476	-5.50904	0.12045	-2.27187	-5.54627	0.22586	-2.20183	-5.48465	0.22609	-2.20358	-5.47864
0.15186	-2.26281	-5.52196	0.06906	-2.3263	-5.56541	0.18307	-2.24903	-5.50707	0.18282	-2.2514	-5.5019
0.12045	-2.27187	-5.54627	0.21672	-2.23751	-5.52547	0.15109	-2.26458	-5.51971	0.14946	-2.26745	-5.51548
0.06906	-2.3263	-5.56541	0.19021	-2.27675	-5.53429	0.11724	-2.27321	-5.54422	0.11191	-2.27678	-5.53988
0.21672	-2.23751	-5.52547	0.24083	-2.24151	-5.52874	0.06436	-2.32728	-5.56306	0.05835	-2.33019	-5.55735
0.19021	-2.27675	-5.53429	0.26697	-2.22462	-5.51647	0.21292	-2.239	-5.52321	0.20718	-2.24195	-5.51847
0.24083	-2.24151	-5.52874	0.31115	-2.15263	-5.46958	0.18655	-2.27823	-5.53227	0.18038	-2.28115	-5.52823
0.26697	-2.22462	-5.51647	0.33626	-2.13948	-5.46745	0.23679	-2.24352	-5.52748	0.22931	-2.24761	-5.52497
0.31115	-2.15263	-5.46958	0.34075	-2.09924	-5.38912	0.26281	-2.227	-5.51498	0.25553	-2.23189	-5.5125
0.33626	-2.13948	-5.46745	0.36186	-2.07474	-5.34583	0.30799	-2.15553	-5.46816	0.30292	-2.16293	-5.46484
0.34075	-2.09924	-5.38912	0.39945	-2.03471	-5.30675	0.33295	-2.14083	-5.46603	0.32742	-2.14588	-5.46319
0.36186	-2.07474	-5.34583	0.3636	-2.02287	-5.30958	0.33746	-2.10096	-5.3878	0.33231	-2.10593	-5.38475
0.39945	-2.03471	-5.30675	0.34536	-1.99027	-5.2616	0.35878	-2.07578	-5.34541	0.35262	-2.07893	-5.34478
0.3636	-2.02287	-5.30958	0.37981	-1.91839	-5.19108	0.39648	-2.03575	-5.30695	0.39109	-2.03884	-5.30554
0.34536	-1.99027	-5.2616	0.39339	-1.96781	-5.18964	0.36053	-2.02518	-5.30857	0.35423	-2.03425	-5.30595
0.37981	-1.91839	-5.19108	0.41772	-1.94876	-5.13229	0.34173	-1.99535	-5.26006	0.33362	-2.00918	-5.25698
0.39339	-1.96781	-5.18964	0.38628	-2.00013	-5.16099	0.37567	-1.92422	-5.18964	0.36867	-1.93416	-5.18606
0.41772	-1.94876	-5.13229	0.43502	-1.93586	-5.08288	0.38973	-1.97338	-5.18767	0.3836	-1.97893	-5.1841
0.38628	-2.00013	-5.16099	0.39878	-1.91471	-5.03657	0.41422	-1.94954	-5.13009	0.40871	-1.95076	-5.12655
0.43502	-1.93586	-5.08288	0.39642	-1.89687	-5.04089	0.38355	-2.00039	-5.1589	0.37908	-2.00087	-5.15508
0.39878	-1.91471	-5.03657	0.36443	-1.87763	-5.03534	0.43223	-1.93614	-5.08063	0.42717	-1.93736	-5.0771
0.39642	-1.89687	-5.04089	0.34146	-1.90583	-5.09554	0.39567	-1.91537	-5.03503	0.38994	-1.91677	-5.03227
0.36443	-1.87763	-5.03534	0.36186	-1.86718	-5.08176	0.39284	-1.898	-5.03996	0.38597	-1.90074	-5.03842
0.34146	-1.90583	-5.09554	0.40012	-1.84767	-5.06325	0.36045	-1.88037	-5.03411	0.35175	-1.88443	-5.03227
0.36186	-1.86718	-5.08176	0.41244	-1.80829	-5.0315	0.33724	-1.90702	-5.09407	0.32842	-1.91042	-5.09195
0.40012	-1.84767	-5.06325	0.43729	-1.80533	-5.03181	0.35779	-1.86834	-5.08015	0.34908	-1.87269	-5.07758
0.41244	-1.80829	-5.0315	0.47841	-1.79716	-4.98088	0.39621	-1.85189	-5.06135	0.38845	-1.8611	-5.05851
0.43729	-1.80533	-5.03181	0.51252	-1.78255	-4.94457	0.40859	-1.81012	-5.03012	0.40019	-1.81497	-5.02661
0.47841	-1.79716	-4.98088	0.48735	-1.80377	-4.96844	0.43334	-1.80703	-5.03089	0.4265	-1.81062	-5.02631
0.51252	-1.78255	-4.94457	0.47561	-1.81116	-4.99999	0.47548	-1.79848	-4.97856	0.47012	-1.80113	-4.97392
0.48735	-1.80377	-4.96844	0.46468	-1.82253	-5.00894	0.5103	-1.78355	-4.94162	0.50776	-1.78547	-4.93562
0.47561	-1.81116	-4.99999	0.48723	-1.80171	-4.95871	0.48581	-1.80446	-4.96557	0.48334	-1.80607	-4.9597
0.46468	-1.82253	-5.00894	0.48428	-1.81278	-4.98497	0.47355	-1.81209	-4.99703	0.46977	-1.81428	-4.99186
